county,status,dem,rep,con,wor,oth,blank,total,pct_dem,pct_rep,pct_con,pct_wor,pct_oth,pct_blank
Queens,Active,756091.0,132888.0,5179.0,3726.0,23783.0,273471.0,1195138.0,63.3,11.1,0.4,0.3,2.0,22.900000000000002
Queens,InActive,74948.0,13699.0,553.0,403.0,3458.0,29445.0,122506.0,61.199999999999996,11.200000000000001,0.5,0.3,2.8000000000000003,24.0
Queens,Total,831039.0,146587.0,5732.0,4129.0,27241.0,302916.0,1317644.0,63.1,11.1,0.4,0.3,2.1,23.0
New York,Active,680882.0,67041.0,1665.0,2319.0,17874.0,173490.0,943271.0,72.2,7.1,0.2,0.2,1.9,18.4
New York,InActive,117744.0,21851.0,409.0,352.0,6454.0,46595.0,193405.0,60.9,11.3,0.2,0.2,3.3000000000000003,24.099999999999998
New York,Total,798626.0,88892.0,2074.0,2671.0,24328.0,220085.0,1136676.0,70.3,7.8,0.2,0.2,2.1,19.400000000000002
Bronx,Active,535955.0,42232.0,2879.0,2858.0,12441.0,124279.0,720644.0,74.4,5.8999999999999995,0.4,0.4,1.7000000000000002,17.2
Bronx,InActive,50516.0,5572.0,405.0,404.0,2013.0,16568.0,75478.0,66.9,7.3999999999999995,0.5,0.5,2.7,22.0
Bronx,Total,586471.0,47804.0,3284.0,3262.0,14454.0,140847.0,796122.0,73.7,6.0,0.4,0.4,1.7999999999999998,17.7
Richmond,Active,122279.0,96010.0,4123.0,1026.0,8640.0,71302.0,303380.0,40.300000000000004,31.6,1.4000000000000001,0.3,2.8000000000000003,23.5
Richmond,InActive,14765.0,10959.0,566.0,143.0,1353.0,8311.0,36097.0,40.9,30.4,1.6,0.4,3.6999999999999997,23.0
Richmond,Total,137044.0,106969.0,4689.0,1169.0,9993.0,79613.0,339477.0,40.400000000000006,31.5,1.4000000000000001,0.3,2.9000000000000004,23.5
Kings,Active,1006695.0,125954.0,4288.0,5890.0,23745.0,263623.0,1430195.0,70.39999999999999,8.799999999999999,0.3,0.4,1.7000000000000002,18.4
Kings,InActive,142592.0,15698.0,567.0,784.0,5080.0,40350.0,205071.0,69.5,7.7,0.3,0.4,2.5,19.7
Kings,Total,1149287.0,141652.0,4855.0,6674.0,28825.0,303973.0,1635266.0,70.3,8.7,0.3,0.4,1.7999999999999998,18.6
